113.0	231.0
145.0	178.0
143.0	191.0
126.0	190.0
122.0	197.0
126.0	191.0
129.0	219.0
131.0	183.0
134.0	195.0
167.0	227.0
119.0	207.0
147.0	180.0
138.0	185.0
157.0	207.0
139.0	202.0
147.0	217.0
132.0	204.0
162.0	189.0
145.0	227.0
166.0	188.0
124.0	219.0
112.0	178.0
135.0	228.0
111.0	183.0
145.0	178.0
135.0	206.0
140.0	180.0
163.0	210.0
123.0	190.0
130.0	175.0
149.0	183.0
168.0	222.0
134.0	180.0
167.0	219.0
125.0	210.0
111.0	182.0
149.0	229.0
128.0	193.0
133.0	198.0
157.0	204.0
121.0	178.0
134.0	216.0
110.0	221.0
167.0	178.0
115.0	228.0
123.0	176.0
140.0	206.0
123.0	225.0
110.0	230.0
126.0	193.0
117.0	197.0
130.0	207.0
127.0	213.0
158.0	210.0
130.0	229.0
114.0	201.0
145.0	210.0
139.0	200.0
131.0	185.0
156.0	228.0
124.0	178.0
131.0	227.0
162.0	192.0
146.0	182.0
162.0	192.0
152.0	207.0
113.0	223.0
127.0	210.0
119.0	222.0
141.0	215.0
147.0	189.0
112.0	176.0
130.0	174.0
140.0	198.0
123.0	220.0
131.0	227.0
149.0	179.0
157.0	197.0
145.0	200.0
160.0	180.0
153.0	200.0
160.0	189.0
112.0	199.0
123.0	205.0
115.0	206.0
163.0	220.0
142.0	172.0
165.0	195.0
124.0	211.0
150.0	186.0
129.0	212.0
166.0	179.0
115.0	229.0
136.0	172.0
143.0	225.0
128.0	176.0
159.0	170.0
126.0	206.0
170.0	169.0
132.0	228.0
136.0	201.0
170.0	184.0
149.0	193.0
159.0	204.0
124.0	229.0
125.0	209.0
127.0	173.0
134.0	210.0
156.0	177.0
158.0	227.0
159.0	197.0
149.0	225.0
167.0	188.0
141.0	179.0
134.0	224.0
116.0	180.0
154.0	183.0
158.0	192.0
135.0	196.0
135.0	187.0
113.0	229.0
148.0	198.0
133.0	200.0
161.0	180.0
142.0	218.0
153.0	186.0
164.0	194.0
110.0	219.0
133.0	183.0
123.0	173.0
165.0	207.0
156.0	182.0
149.0	172.0
115.0	206.0
152.0	180.0
126.0	176.0
137.0	214.0
137.0	206.0
160.0	223.0
128.0	205.0
133.0	175.0
135.0	205.0
166.0	224.0
112.0	176.0
161.0	183.0
155.0	223.0
130.0	187.0
115.0	219.0
159.0	179.0
168.0	215.0
155.0	193.0
171.0	169.0
166.0	205.0
116.0	175.0
142.0	183.0
142.0	216.0
144.0	188.0
128.0	188.0
154.0	171.0
115.0	183.0
165.0	207.0
139.0	223.0
136.0	189.0
135.0	180.0
163.0	207.0
137.0	185.0
144.0	190.0
130.0	187.0
153.0	210.0
133.0	208.0
129.0	166.0
153.0	184.0
125.0	213.0
